"sample","strategy","grp","cost","qalys"
1,"Strategy 1","Group 1",18.5035097846247,9.01542851904589
2,"Strategy 1","Group 1",18.7970163591389,8.78575188074062
3,"Strategy 1","Group 1",16.8639212998907,8.81743939460619
4,"Strategy 1","Group 1",21.6755676710212,8.70052308859354
5,"Strategy 1","Group 1",29.0002969287519,8.69049279089852
6,"Strategy 1","Group 1",18.8438996493053,9.14422959199888
7,"Strategy 1","Group 1",20.5518513062027,9.01653384418689
8,"Strategy 1","Group 1",24.6110490718014,9.21938042882897
9,"Strategy 1","Group 1",14.6216257515038,8.76335340128478
10,"Strategy 1","Group 1",15.768300735805,9.21216110070596
11,"Strategy 1","Group 1",21.1806896654724,8.64847209754184
12,"Strategy 1","Group 1",16.3917397478184,9.01993236602402
13,"Strategy 1","Group 1",29.6668675556781,9.13434259284652
14,"Strategy 1","Group 1",20.0383487782309,9.17655949527611
15,"Strategy 1","Group 1",20.540185946887,9.27404034028152
16,"Strategy 1","Group 1",14.2827418365345,8.77074214542963
17,"Strategy 1","Group 1",20.1929459807258,8.70019448889838
18,"Strategy 1","Group 1",12.3128973437767,9.4120259530529
19,"Strategy 1","Group 1",16.2238595418004,9.24733514355855
20,"Strategy 1","Group 1",26.2385810524332,8.9792887360717
21,"Strategy 1","Group 1",23.4024707299764,9.03069991366194
22,"Strategy 1","Group 1",21.6030047151433,8.9709875416907
23,"Strategy 1","Group 1",16.8100320720913,8.88597270922526
24,"Strategy 1","Group 1",18.705694082317,9.24156465357332
25,"Strategy 1","Group 1",14.0187384658134,8.97676746454236
26,"Strategy 1","Group 1",21.3654320101134,9.30763356861179
27,"Strategy 1","Group 1",19.7026930287664,8.93128706166197
28,"Strategy 1","Group 1",22.8246413771885,8.94154604101945
29,"Strategy 1","Group 1",20.4791418667237,8.91158184828049
30,"Strategy 1","Group 1",25.9045405314557,8.7237689633682
31,"Strategy 1","Group 1",14.6930646014331,9.25423332689664
32,"Strategy 1","Group 1",18.1459985043709,9.28052877846226
33,"Strategy 1","Group 1",15.4350545906887,9.1189749004998
34,"Strategy 1","Group 1",23.4181095134547,9.12245599148009
35,"Strategy 1","Group 1",15.5655772135346,9.25388255198079
36,"Strategy 1","Group 1",23.4089490732088,9.04988280292133
37,"Strategy 1","Group 1",20.3439936785973,8.40908809380064
38,"Strategy 1","Group 1",20.8239132670151,8.97355955014689
39,"Strategy 1","Group 1",27.7836679144893,8.68547770495394
40,"Strategy 1","Group 1",21.9704952084427,8.824064728995
41,"Strategy 1","Group 1",19.8237380946311,9.04670566757635
42,"Strategy 1","Group 1",27.7201487087159,9.27139711203051
43,"Strategy 1","Group 1",21.4289014257922,8.83671204664342
44,"Strategy 1","Group 1",23.8447908802043,9.11832864253955
45,"Strategy 1","Group 1",23.3494842650708,9.07734928383656
46,"Strategy 1","Group 1",19.298208005104,8.91380544747359
47,"Strategy 1","Group 1",19.7541016934021,9.28911942896203
48,"Strategy 1","Group 1",23.785598703096,9.01716259892888
49,"Strategy 1","Group 1",20.3317370210893,9.15754494784741
50,"Strategy 1","Group 1",15.0939057983284,9.02192379220624
51,"Strategy 1","Group 1",21.0160606596386,8.52378130067119
52,"Strategy 1","Group 1",26.5146813635108,9.04008345914855
53,"Strategy 1","Group 1",18.5178538702212,8.77268152627048
54,"Strategy 1","Group 1",14.3555554767849,8.81173139500447
55,"Strategy 1","Group 1",30.2617826227496,9.61569881792409
56,"Strategy 1","Group 1",17.3934801585666,9.08023943456282
57,"Strategy 1","Group 1",20.1964127192951,9.01029708913111
58,"Strategy 1","Group 1",16.9925953419266,9.46775806853558
59,"Strategy 1","Group 1",16.7986270539709,9.55914113523573
60,"Strategy 1","Group 1",19.392867812738,9.08666934660226
61,"Strategy 1","Group 1",17.8326865512828,8.88698108220684
62,"Strategy 1","Group 1",16.2063280066824,9.32408514008949
63,"Strategy 1","Group 1",22.9520458668878,8.83747560787017
64,"Strategy 1","Group 1",15.6670799903462,9.14330941445522
65,"Strategy 1","Group 1",23.6195534902173,8.81103589341816
66,"Strategy 1","Group 1",20.1867648756383,8.80971525873234
67,"Strategy 1","Group 1",19.9226695225013,8.88514856371979
68,"Strategy 1","Group 1",17.4969246704939,8.93418897550537
69,"Strategy 1","Group 1",23.7716840086898,9.23580319570972
70,"Strategy 1","Group 1",24.8369780271394,9.38042548359512
71,"Strategy 1","Group 1",19.4951337990764,8.92092962646237
72,"Strategy 1","Group 1",19.3001976741464,8.94728211438695
73,"Strategy 1","Group 1",19.7826686979573,9.26624472089945
74,"Strategy 1","Group 1",25.0557548046815,9.3946068749098
75,"Strategy 1","Group 1",16.3289719509474,9.20081674270426
76,"Strategy 1","Group 1",25.7280056898124,9.16454675912631
77,"Strategy 1","Group 1",16.9565229990978,8.44406621825344
78,"Strategy 1","Group 1",25.3426529405929,9.53774219590361
79,"Strategy 1","Group 1",19.1732583561928,9.14978187765696
80,"Strategy 1","Group 1",17.0685017252315,9.38032087890318
81,"Strategy 1","Group 1",21.8064441188392,8.902413930583
82,"Strategy 1","Group 1",25.3483969235472,9.11771411732039
83,"Strategy 1","Group 1",21.7538615435679,8.37646937570827
84,"Strategy 1","Group 1",24.4524733736263,8.4490602012086
85,"Strategy 1","Group 1",16.0062974955261,8.70067344340648
86,"Strategy 1","Group 1",26.7285236927734,8.94864688371238
87,"Strategy 1","Group 1",16.2664902105164,8.91851908752821
88,"Strategy 1","Group 1",21.9805286878134,9.45408069552099
89,"Strategy 1","Group 1",19.1533903466309,9.04846438502567
90,"Strategy 1","Group 1",20.710910521423,9.36412721426942
91,"Strategy 1","Group 1",16.5576784176294,9.25691281097854
92,"Strategy 1","Group 1",33.9103117166517,8.70561226546789
93,"Strategy 1","Group 1",17.9540709761152,9.33530074072416
94,"Strategy 1","Group 1",26.578057454265,9.05656968630373
95,"Strategy 1","Group 1",18.1358279532819,9.21225598888724
96,"Strategy 1","Group 1",17.7712383080264,8.43617310295995
97,"Strategy 1","Group 1",17.4441999052862,9.11175151334454
98,"Strategy 1","Group 1",17.4687148190935,8.85549400818972
99,"Strategy 1","Group 1",18.9996384634004,8.96566079059474
100,"Strategy 1","Group 1",12.9156592915503,9.04750043409472
101,"Strategy 1","Group 1",19.1601603301383,8.81006062919772
102,"Strategy 1","Group 1",16.205913143582,8.80823353821953
103,"Strategy 1","Group 1",14.9958488085855,9.03179325857178
104,"Strategy 1","Group 1",19.4447887847835,8.81309459727099
105,"Strategy 1","Group 1",22.7283593507181,8.97907278210402
106,"Strategy 1","Group 1",19.4625343708891,8.85659360229395
107,"Strategy 1","Group 1",23.652933740118,9.21376291902824
108,"Strategy 1","Group 1",25.0156386639391,8.83246126738111
109,"Strategy 1","Group 1",22.4193504701806,9.05084365240881
110,"Strategy 1","Group 1",22.1362179414107,9.53566546541305
111,"Strategy 1","Group 1",18.7417732323177,9.06668553465716
112,"Strategy 1","Group 1",16.7967455644355,9.12867243209564
113,"Strategy 1","Group 1",23.490772225988,8.515286134699
114,"Strategy 1","Group 1",16.6096969358387,8.46373605212005
115,"Strategy 1","Group 1",28.1675525156979,9.72056281964745
116,"Strategy 1","Group 1",25.8018393406966,9.11312399383225
117,"Strategy 1","Group 1",17.2921749839105,8.47762907546277
118,"Strategy 1","Group 1",17.9912748902214,9.47938162894519
119,"Strategy 1","Group 1",18.9480080202901,9.58351598624302
120,"Strategy 1","Group 1",22.2179437747185,9.23158219843001
121,"Strategy 1","Group 1",21.7633006267614,9.19667603608525
122,"Strategy 1","Group 1",21.1358003928698,9.00963884939622
123,"Strategy 1","Group 1",24.7738763888454,9.31446145332431
124,"Strategy 1","Group 1",14.8053639264082,8.68582014606857
125,"Strategy 1","Group 1",24.4001001235938,8.68776857442875
126,"Strategy 1","Group 1",16.663509857703,8.62304333098948
127,"Strategy 1","Group 1",14.6231464952875,8.53547865827135
128,"Strategy 1","Group 1",18.9755348493386,9.14619405730765
129,"Strategy 1","Group 1",16.0677939293022,8.39454622003674
130,"Strategy 1","Group 1",22.6311026934389,8.97730623492906
131,"Strategy 1","Group 1",23.0304281856113,9.21333768434621
132,"Strategy 1","Group 1",27.8219230271881,9.20775375421987
133,"Strategy 1","Group 1",18.2932925370197,8.72185165137101
134,"Strategy 1","Group 1",19.1941619677346,8.83514900185851
135,"Strategy 1","Group 1",19.711676248451,9.20964231945098
136,"Strategy 1","Group 1",21.153749033256,8.43440997287809
137,"Strategy 1","Group 1",18.0807636881437,8.96416721245957
138,"Strategy 1","Group 1",17.2047817930584,9.01779317326382
139,"Strategy 1","Group 1",20.3022572751102,8.7247745544834
140,"Strategy 1","Group 1",18.8135188411193,8.90596845024351
141,"Strategy 1","Group 1",18.600522533191,9.25794427085795
142,"Strategy 1","Group 1",23.6094323672323,8.44223709419687
143,"Strategy 1","Group 1",19.4453571331721,9.28218681478975
144,"Strategy 1","Group 1",16.5836952538578,8.66505173458331
145,"Strategy 1","Group 1",21.5509829871278,8.8103436212858
146,"Strategy 1","Group 1",12.8195708560008,8.65268944250643
147,"Strategy 1","Group 1",19.2647453411653,8.53694431780423
148,"Strategy 1","Group 1",22.6609079085037,9.24414886046487
149,"Strategy 1","Group 1",22.7526965968601,8.76156408958572
150,"Strategy 1","Group 1",20.8126119622564,8.72578929286512
151,"Strategy 1","Group 1",12.9466955421021,8.99478516137894
152,"Strategy 1","Group 1",22.5380215917082,8.66045917332092
153,"Strategy 1","Group 1",13.286551460108,8.94097596541783
154,"Strategy 1","Group 1",28.4491434584062,9.04487228743516
155,"Strategy 1","Group 1",23.2100704619226,9.40882500991595
156,"Strategy 1","Group 1",18.6208289472267,9.3667691646933
157,"Strategy 1","Group 1",19.6947787986309,9.03358194970624
158,"Strategy 1","Group 1",19.3160726406943,9.26189328496231
159,"Strategy 1","Group 1",19.9582772441719,9.44087774467356
160,"Strategy 1","Group 1",19.8036209598009,8.5156810759304
161,"Strategy 1","Group 1",20.5412447743758,8.8141604057122
162,"Strategy 1","Group 1",16.3696197707514,9.2820670385635
163,"Strategy 1","Group 1",18.272559772885,8.72287774574599
164,"Strategy 1","Group 1",17.3121190317095,8.62827812152173
165,"Strategy 1","Group 1",23.2745892340187,8.9601642274895
166,"Strategy 1","Group 1",15.8402665427974,9.00354892129529
167,"Strategy 1","Group 1",18.6455409919163,9.16737078883731
168,"Strategy 1","Group 1",24.7677125861415,9.02243622141318
169,"Strategy 1","Group 1",25.6752156870609,8.95684282667244
170,"Strategy 1","Group 1",21.5734377170047,9.08354406856914
171,"Strategy 1","Group 1",18.7013564977903,9.2901117100415
172,"Strategy 1","Group 1",28.7116377557356,9.38722517324822
173,"Strategy 1","Group 1",24.3206322325996,9.28640789601908
174,"Strategy 1","Group 1",19.3870654490883,9.31092779440502
175,"Strategy 1","Group 1",18.532810156803,8.68886971339485
176,"Strategy 1","Group 1",24.6285317738911,9.37649025138699
177,"Strategy 1","Group 1",15.1557615583407,8.37336616498825
178,"Strategy 1","Group 1",25.5059505214372,9.16737170109211
179,"Strategy 1","Group 1",18.6961081640469,9.39943157666824
180,"Strategy 1","Group 1",18.5313559860123,8.8952562245723
181,"Strategy 1","Group 1",19.7163364317643,9.14900058855839
182,"Strategy 1","Group 1",15.3116060083153,8.96152760240808
183,"Strategy 1","Group 1",25.5416321088967,8.6473618527558
184,"Strategy 1","Group 1",18.3625668688366,9.26240902692661
185,"Strategy 1","Group 1",22.2856890330458,8.63254244008687
186,"Strategy 1","Group 1",21.9136109094803,8.95860270330284
187,"Strategy 1","Group 1",27.1032365266569,8.92839399590632
188,"Strategy 1","Group 1",16.0050804155165,9.07923364410199
189,"Strategy 1","Group 1",16.5164747130161,9.062024904534
190,"Strategy 1","Group 1",19.2368828497296,9.41692910256632
191,"Strategy 1","Group 1",11.0174472362607,9.14241497103119
192,"Strategy 1","Group 1",22.6773881768386,9.21224986399899
193,"Strategy 1","Group 1",21.6074170152855,9.22430948431467
194,"Strategy 1","Group 1",20.189460751976,9.19220243829725
195,"Strategy 1","Group 1",20.2461173100197,9.2592335827176
196,"Strategy 1","Group 1",23.9640842874108,8.67920881557503
197,"Strategy 1","Group 1",21.9803137564535,8.72201422868178
198,"Strategy 1","Group 1",33.8521545586594,9.20015636484035
199,"Strategy 1","Group 1",21.8231714744374,9.20130200658437
200,"Strategy 1","Group 1",19.9273909404645,8.97393579263792
201,"Strategy 1","Group 1",19.1044069342934,9.20752068569278
202,"Strategy 1","Group 1",18.7377912180085,9.00468493995285
203,"Strategy 1","Group 1",21.9055838435205,8.54226666909093
204,"Strategy 1","Group 1",19.2678641220347,8.79036878302534
205,"Strategy 1","Group 1",19.7374081294246,8.39635819235144
206,"Strategy 1","Group 1",20.4495458468694,9.67079433445666
207,"Strategy 1","Group 1",22.0368257768361,9.37975576651188
208,"Strategy 1","Group 1",25.4749730326071,9.28699415559125
209,"Strategy 1","Group 1",30.2902610476302,9.29200673616629
210,"Strategy 1","Group 1",27.4978944463012,9.17220466310962
211,"Strategy 1","Group 1",23.6713025558416,9.01713466042321
212,"Strategy 1","Group 1",24.7629945027041,8.96026388362417
213,"Strategy 1","Group 1",24.0392004537958,8.78156749171366
214,"Strategy 1","Group 1",16.3052113242288,8.76470458680425
215,"Strategy 1","Group 1",24.1940077673629,9.04704141937406
216,"Strategy 1","Group 1",28.6848140685004,9.38650377944285
217,"Strategy 1","Group 1",19.1196190532003,9.09385261630069
218,"Strategy 1","Group 1",16.3868869739862,9.02462919057402
219,"Strategy 1","Group 1",23.432937047636,8.69277071732642
220,"Strategy 1","Group 1",25.4417558651786,9.34077922540024
221,"Strategy 1","Group 1",14.9326374361404,9.09559177722878
222,"Strategy 1","Group 1",26.9768846457526,8.57515421513291
223,"Strategy 1","Group 1",21.2495843807507,9.14373991579323
224,"Strategy 1","Group 1",20.2430636566109,9.23399231602932
225,"Strategy 1","Group 1",19.2090820443369,8.622932754073
226,"Strategy 1","Group 1",17.4696533025354,8.6429384439642
227,"Strategy 1","Group 1",20.2548073805237,8.85086747521377
228,"Strategy 1","Group 1",22.6386149810162,9.32808739795611
229,"Strategy 1","Group 1",21.3043740928003,9.12115814359963
230,"Strategy 1","Group 1",19.2921163174491,8.78307441594159
231,"Strategy 1","Group 1",17.6443926949041,8.93992433108217
232,"Strategy 1","Group 1",19.1896674371751,9.00154547658007
233,"Strategy 1","Group 1",24.0042305269591,8.61807114271177
234,"Strategy 1","Group 1",17.3827810548527,9.16496822579809
235,"Strategy 1","Group 1",19.6750522863132,8.71079544389394
236,"Strategy 1","Group 1",24.6823752868665,8.809002322096
237,"Strategy 1","Group 1",15.2046385631003,8.7943969011721
238,"Strategy 1","Group 1",26.4596520135949,9.11300830283278
239,"Strategy 1","Group 1",16.6238572426345,8.98122934662362
240,"Strategy 1","Group 1",16.6246649848209,9.27364323583332
241,"Strategy 1","Group 1",24.8854478686174,8.97003790610175
242,"Strategy 1","Group 1",17.5811244490449,8.30604823458873
243,"Strategy 1","Group 1",17.2109459273484,8.70121932291235
244,"Strategy 1","Group 1",19.7670652994615,8.77722992520696
245,"Strategy 1","Group 1",22.0506796735205,8.1161421451109
246,"Strategy 1","Group 1",20.0459266660725,9.11015149392626
247,"Strategy 1","Group 1",14.8691086005899,9.04319028892154
248,"Strategy 1","Group 1",16.3744152619312,9.42268558987565
249,"Strategy 1","Group 1",33.6474661593945,8.74170787124382
250,"Strategy 1","Group 1",23.6650366986157,8.3865244683166
251,"Strategy 1","Group 1",16.2158462010538,9.34517438389066
252,"Strategy 1","Group 1",16.6736713058635,9.18036107532686
253,"Strategy 1","Group 1",17.3207448976088,8.78451487791026
254,"Strategy 1","Group 1",18.290131754443,9.02273322322728
