"sample","strategy","grp","cost","qalys","random_variable"
1,"Strategy 1","Group 1",18.5035097846247,9.01542851904589,0.387862705482681
2,"Strategy 1","Group 1",18.7970163591389,8.78575188074062,0.232116914921278
3,"Strategy 1","Group 1",16.8639212998907,8.81743939460619,-0.937729411702503
4,"Strategy 1","Group 1",21.6755676710212,8.70052308859354,-0.612901992202039
5,"Strategy 1","Group 1",29.0002969287519,8.69049279089852,0.8240800389033
6,"Strategy 1","Group 1",18.8438996493053,9.14422959199888,1.63566501638134
7,"Strategy 1","Group 1",20.5518513062027,9.01653384418689,0.70740046226062
8,"Strategy 1","Group 1",24.6110490718014,9.21938042882897,0.169254533807656
9,"Strategy 1","Group 1",14.6216257515038,8.76335340128478,-0.593581068991941
10,"Strategy 1","Group 1",15.768300735805,9.21216110070596,1.51293855004804
11,"Strategy 1","Group 1",21.1806896654724,8.64847209754184,0.113127086361316
12,"Strategy 1","Group 1",16.3917397478184,9.01993236602402,-0.428896158104243
13,"Strategy 1","Group 1",29.6668675556781,9.13434259284652,1.11358401592971
14,"Strategy 1","Group 1",20.0383487782309,9.17655949527611,-1.39082925855657
15,"Strategy 1","Group 1",20.540185946887,9.27404034028152,0.549419702993813
16,"Strategy 1","Group 1",14.2827418365345,8.77074214542963,0.541698702373922
17,"Strategy 1","Group 1",20.1929459807258,8.70019448889838,-0.788348746565377
18,"Strategy 1","Group 1",12.3128973437767,9.4120259530529,1.31510315535397
19,"Strategy 1","Group 1",16.2238595418004,9.24733514355855,1.58298313586234
20,"Strategy 1","Group 1",26.2385810524332,8.9792887360717,-0.211868051261597
21,"Strategy 1","Group 1",23.4024707299764,9.03069991366194,0.227542154066203
22,"Strategy 1","Group 1",21.6030047151433,8.9709875416907,-0.0788540136032867
23,"Strategy 1","Group 1",16.8100320720913,8.88597270922526,-0.544908118358888
24,"Strategy 1","Group 1",18.705694082317,9.24156465357332,-0.203082721001691
25,"Strategy 1","Group 1",14.0187384658134,8.97676746454236,-0.104781052172738
26,"Strategy 1","Group 1",21.3654320101134,9.30763356861179,-0.793405411363161
27,"Strategy 1","Group 1",19.7026930287664,8.93128706166197,2.85850932783099
28,"Strategy 1","Group 1",22.8246413771885,8.94154604101945,-0.623731498094149
